5, 10.47.97.159, 54.174.237.188,1,60.50397587,61,50381,443,456.4262295,1,,Average of Average Packet Length,,,,Average of Average Packet Length,,,,Average of Average Packet Length,,,,Average of Average Packet Length,,
6, 10.47.97.159, 192.229.163.248,1,46.23694992,148,50382,443,751.1689189,1,,TCP,AVG,365.2540605,,TCP,AVG,557.5106891,,TCP,AVG,301.1440813,,TCP,AVG,936.6796309
8, 10.47.97.159, 199.166.0.24,1,10.59370995,110,50383,443,782.6818182,1,,UDP,AVG,441.590781,,UDP,AVG,720.8061412,,UDP,AVG,601.0954098,,UDP,AVG,393.857539
9, 10.47.97.159, 173.241.254.14,1,46.3289659,22,50384,443,281.5454545,1,,Number of packets in flow,,,,Number of packets in flow,,,,Number of packets in flow,,,,Number of packets in flow,,
10, 10.47.97.159, 98.139.225.43,1,20.75431204,28,50385,443,454.3928571,1,,TCP,AVG,68,,TCP,AVG,1255.291667,,TCP,AVG,42.875,,TCP,AVG,4168.934783
11, 10.47.97.159, 18.210.105.73,1,69.26936078,23,50386,443,284.5217391,1,,UDP,AVG,75.75,,UDP,AVG,279.5769231,,UDP,AVG,7329.423077,,UDP,AVG,14.5
12, 10.47.97.159, 52.0.206.42,1,3.057195902,37,50387,443,413.7297297,1,,TCP,MODE,28,,TCP,MODE,13,,TCP,MODE,18,,TCP,MODE,2920
14, 10.47.97.159, 199.166.0.200,1,10.12689519,28,50388,443,328,1,,UDP,MODE,32,,UDP,MODE,13,,UDP,MODE,11996,,UDP,MODE,443
15, 10.47.97.159, 104.244.37.20,1,10.11432505,17,50389,443,176.4705882,1,,Time,,,,Time,,,,Time,,,,Time,,
16, 10.47.97.159, 104.244.37.20,1,10.11543584,17,50390,443,174.7647059,1,,TCP,AVG,41.59358606,,TCP,AVG,53.55267795,,TCP,AVG,20.37070639,,TCP,AVG,8.911704436
17, 10.47.97.159, 104.244.37.20,1,10.11444592,17,50391,443,191.6470588,1,,UDP,AVG,27.9050056,,UDP,AVG,27.27570345,,UDP,AVG,32.21975498,,UDP,AVG,0.192186832
